X0,X1,X2,X3,X4,X5,X6,y
1.257302210933932962e-01,-1.321048632913018883e-01,6.404226504432820599e-01,1.049001171530397070e-01,-5.356693731611109621e-01,3.615950549094847366e-01,1.304000045130137231e+00,7.152071482058038887e-01
9.470809631292421704e-01,-7.037352358069925984e-01,-1.265421471046052515e+00,-6.232744625373521918e-01,4.132597934724360073e-02,-2.325030774638834341e+00,-2.187916639325457324e-01,-4.194835359027506705e+00
-1.245910947253065171e+00,-7.322673547034516117e-01,-5.442589828573098920e-01,-3.163001563691545392e-01,4.116305363741328271e-01,1.042513369442677584e+00,-1.285346629440342614e-01,2.199926945546112567e+00
1.366463470549685866e+00,-6.651946734866135413e-01,3.515100700930197108e-01,9.034701816518085904e-01,9.401229776087456635e-02,-7.434992493538084002e-01,-9.217253762584194376e-01,-1.531274071922132052e+00
-4.577258256673391590e-01,2.201951234700494087e-01,-1.009618183538735892e+00,-2.091755748717130658e-01,-1.592250099144777165e-01,5.408455846858076788e-01,2.146591225063408936e-01,-8.658904607018423627e-02
3.553727090399214084e-01,-6.538286094183394237e-01,-1.296136336927694588e-01,7.839754700613295046e-01,1.493431145220760703e+00,-1.259065532104120200e+00,1.513923774739062589e+00,-1.043378485437710168e+00
1.345875423782304514e+00,7.813114007004274830e-01,2.644556303293035260e-01,-3.139228145364277855e-01,1.458020683536958684e+00,1.960258316449964733e+00,1.801634869866125088e+00,5.178816341775631216e+00
1.315103764734369962e+00,3.573804106589559826e-01,-1.208318632282171512e+00,-4.454133120083228828e-03,6.564749350763358082e-01,-1.288361463749554403e+00,3.951220601820082390e-01,-2.725266779194882361e+00
4.298636948222300247e-01,6.960427239628684815e-01,-1.184117966757189055e+00,-6.617025720390349308e-01,-4.364352471432212388e-01,-1.169801907772864080e+00,1.739367877130133966e+00,-3.129214968216949444e+00
-4.959107284421518935e-01,3.289696294602020843e-01,-2.585725454739239981e-01,1.583472878802122175e+00,1.320360987081839133e+00,6.333526228249152235e-01,-2.203509880646650654e+00,1.264294907287695224e-01
5.202897425988650681e-02,6.836861907765344748e-01,1.003961575842169607e+00,-6.179070447076008277e-01,1.822011363328323252e+00,-1.320430970013293459e+00,-6.615280218152190805e-01,1.324914886824713367e+00
9.350499881140220682e-01,4.905461382531165621e-02,2.002392583645255186e+00,1.885191925124655721e-01,-6.331940901922267217e-01,-3.775635052328082386e-01,-1.091146117619195444e+00,5.992553350179203875e-01
-1.277680166386607974e+00,6.304114907682318858e-01,5.811658124128057379e-01,1.294558819441117059e+00,-7.546057912599311024e-01,1.689107452443673107e+00,-2.873877078086662928e-01,1.060194061334733373e+00
